"Cap waktu","Usia","Status","Apa yang menjadi bahan pertimbanganmu ketika membeli hijab?","Apakah kamu lebih menyukai pembelian hijab secara online atau offline?","Apa yang menjadi alasan utamamu lebih menyukai metode tersebut?","Apa kesulitan yang kamu hadapi ketika membeli jilbab secara online?","Jika terdapat aplikasi yang dapat memungkinkan kamu mencoba jilbab suatu brand, apakah menurutmu itu akan membantu?","Mengapa kamu berpikir demikian","Apa saja brand hijab yang kamu ketahui?","Apakah kamu mengetahui brand hijab Bohemian Era (bohemian.eraa)?"
"2023/11/07 9:54:22 AM GMT+7","18-30 tahun","Mahasiswa","Jenis bahan;Ukuran;Warna","Online","Kesesuaian  warna;Kesesuaian tekstur;Penyocokan ukuran","bahan yang tidak sesuai dan warna yang berbeda","Ya","salah satu solusi bagi perempuan yang memiliki problem pada pemilihan warna, bahan.","-","Tidak"
"2023/11/07 3:16:55 PM GMT+7","18-30 tahun","Mahasiswa","Jenis bahan","Offline","Kesesuaian  warna;Kesesuaian tekstur;Penyocokan ukuran","Tidak mengetahui secara detail terkait warna dan bahan","Ya","Karna memudahkan wanita dalam mencoba untuk mencocokan dengan keinginan","Rabbani, umama, elzata, zoya","Tidak"
"2023/11/07 9:18:54 PM GMT+7","18-30 tahun","Mahasiswa","Jenis bahan","Online","Kesesuaian  warna","","Ya","","","Ya"
"2023/11/07 9:48:44 PM GMT+7","<18 tahun","Pelajar","Jenis bahan","Offline","Kesesuaian  warna;Kesesuaian tekstur","penyocokan warna dan bahan","Ya","lebih mudah","lafiye, batton scraff, umama","Ya"
"2023/11/07 10:07:39 PM GMT+7","18-30 tahun","Mahasiswa","Jenis bahan","Offline","Kesesuaian tekstur","kita gabisa liat asli dari bahan hijab tersebut","Tidak","kurang efisien karna dilakukan secara online dan tidak nyata","lozy hijab, umama, dll.","Ya"
"2023/11/07 10:12:29 PM GMT+7","18-30 tahun","Mahasiswa","Warna","Offline","Kesesuaian  warna","Salah warna dan bahan tidak sesuai","Ya","Karena sangat membantu mencocokan sebelum membeli","Bohemian era, vanilla, umama, lafiye dll","Ya"
"2023/11/07 10:12:52 PM GMT+7","18-30 tahun","Mahasiswa","Jenis bahan","Offline","Kesesuaian  warna","warna dan bahan yang tidak sesuai","Ya","dengan adanya apk trsebut membantu untuk mencocokan warna ke kulit kita"," buttonscarves,umama,rabani,zoya","Ya"
"2023/11/07 10:18:15 PM GMT+7","18-30 tahun","Mahasiswa","Jenis bahan","Offline","Kesesuaian tekstur","Bahan nya belum tentu bagus","Ya","Karena lebih memudahkan konsumen untuk menentukan pilihan nya secara cepat","Bohemian era","Ya"
"2023/11/07 10:25:10 PM GMT+7","18-30 tahun","Mahasiswa","Jenis bahan;Warna","Offline","Kesesuaian  warna;Kesesuaian tekstur;Penyocokan ukuran","susah menakar ukuran, warna dan bahan. karena kadang yang sudah dijelaskan di description box tidak sesuai dengan barang yang dikirimkan.","Ya","sangat membantu, karena dengan adanya aplikasi itu secara tidak langsung mengurangi beban wanita berhijab dalam menemukan hijab bagaimana, warna apa yang cocok di wajahnya","umama, buttonscarves","Ya"
"2023/11/07 11:02:41 PM GMT+7","18-30 tahun","Mahasiswa","Jenis bahan","Offline","Kesesuaian tekstur","Kesulitan menyocokan warna baju","Ya","Karna salah satu kesulitan dalam membeli jilbab adalah menyocokan jilbab di wajah jika ada aplikasi tersebut maka pasti sangat membantu","Zoya","Ya"
"2023/11/08 12:15:57 AM GMT+7","18-30 tahun","Mahasiswa","Jenis bahan;Ukuran;Warna","Offline","Kesesuaian  warna;Kesesuaian tekstur;Penyocokan ukuran","Bahan dan ukuran yg g sesuai ","Ya","Karena memudahkan kita untuk mengetahui apakah sesuai tidakny ukuran hijab pada saat digunakan","Bella square, Paris, nacoput, Jenna&Kaia, button scraft, dll","Ya"
"2023/11/08 5:32:32 AM GMT+7","18-30 tahun","Bekerja","Jenis bahan;Ukuran;Warna","Online","Kesesuaian  warna;Kesesuaian tekstur","","Ya","","","Ya"
"2023/11/08 6:45:25 AM GMT+7","<18 tahun","Mahasiswa","Jenis bahan;Ukuran;Warna","Online","lebih mudah, ga perlu dtng ke tempat","memilih warna, karena terkadang warna asli dan difoto lumayan berbeda","Ya","biar tau yang mana cocok sama kita","rabbani, buttonscarves, zoya, umama, bnyk lagi","Ya"
"2023/11/08 8:00:55 AM GMT+7","18-30 tahun","Mahasiswa","Jenis bahan;Warna","Online","Kesesuaian  warna;Kesesuaian tekstur","bahan yang tidak sesuai","Ya","karena aplikasi yang memadai akan mempengaruhi pembelian","buttonscrave, la sabelle","Ya"
"2023/11/08 9:15:02 AM GMT+7","18-30 tahun","Mahasiswa","Warna","Offline","Kesesuaian  warna","warnanya kadang ga kaya difoto","Ya","karna jadi lebih tau detail jilbab kaya beli offline","buttonscarf, duta","Ya"
"2023/11/08 6:19:41 PM GMT+7","18-30 tahun","Bekerja","Jenis bahan","Offline","Kesesuaian  warna","terkadang warna yang di foto berbeda dengan warna aslinya","Tidak","","","Tidak"
"2023/11/09 10:10:38 PM GMT+7","18-30 tahun","Mahasiswa","Jenis bahan","Online","Kesesuaian  warna","Warna yang ada di gambar tidak sesuai dengan realitanya","Ya","Karena aplikasi dapat membantu secara realtime untuk menyesuaikan warna dan deskripsi bahan yg kita cari","Saudia, rabbani, elzatta dll","Tidak"
